ID,HouseholdCharacteristics,Periods,MedianDevelopmentPurchasingPower_1,PersonsWithPurchasingPowerDecrease_2,PersonsWithPurchasingPowerIncrease_3,k_20thPercentile_4,k_40thPercentile_5,k_60thPercentile_6,k_80thPercentile_7
71,1016090,2017JJ00,2.2,38.5,61.5,-5.3,0.3,4.5,12.9
72,1016090,2018JJ00,2.5,37.5,62.5,-5.2,0.5,4.9,13.1
73,1016090,2019JJ00,3.2,33.7,66.3,-4.6,1.3,5.6,13.9
74,1016090,2020JJ00,4.8,29.9,70.1,-4.2,2.6,7.2,15.1
75,1016090,2021JJ00,3.3,34.4,65.6,-4.9,1.2,5.7,14.3
76,1016090,2022JJ00,0.1,49.7,50.3,-7.5,-2.0,2.4,9.9
77,1050220,2012JJ00,-1.5,57.3,42.7,-12.3,-3.8,0.7,8.8
78,1050220,2013JJ00,-1.1,55.1,44.9,-11.5,-3.4,1.2,9.7
79,1050220,2014JJ00,1.9,41.0,59.0,-8.4,-0.2,4.3,13.8
80,1050220,2015JJ00,1.6,42.5,57.5,-8.8,-0.6,4.2,13.9
81,1050220,2016JJ00,3.6,35.2,64.8,-6.6,1.2,6.3,16.3
82,1050220,2017JJ00,1.5,42.8,57.2,-7.7,-0.5,4.3,15.1
83,1050220,2018JJ00,1.6,42.7,57.3,-8.0,-0.5,4.4,14.8
84,1050220,2019JJ00,2.5,37.5,62.5,-6.9,0.5,5.2,15.4
85,1050220,2020JJ00,3.4,35.4,64.6,-7.3,1.2,6.2,16.3
86,1050220,2021JJ00,2.5,38.5,61.5,-7.2,0.3,5.5,16.1
87,1050220,2022JJ00,-0.8,53.0,47.0,-9.8,-3.0,1.9,11.1
88,A025340,2012JJ00,2.2,45.3,54.7,-18.5,-2.5,8.0,32.4
89,A025340,2013JJ00,4.1,41.6,58.4,-16.9,-0.8,9.8,36.1
90,A025340,2014JJ00,6.2,38.0,62.0,-15.5,1.1,12.5,40.0
91,A025340,2015JJ00,7.1,36.1,63.9,-15.1,1.9,14.3,44.4
92,A025340,2016JJ00,9.6,33.7,66.3,-14.5,3.5,17.0,48.8
93,A025340,2017JJ00,8.2,35.2,64.8,-14.2,2.2,16.5,50.4
94,A025340,2018JJ00,8.9,33.8,66.2,-11.4,3.0,17.4,52.2
95,A025340,2019JJ00,9.2,31.9,68.1,-9.8,3.6,17.2,51.4
96,A025340,2020JJ00,9.8,30.3,69.7,-9.3,4.5,17.1,50.9
97,A025340,2021JJ00,10.0,30.4,69.6,-7.9,4.3,18.6,56.0
98,A025340,2022JJ00,8.7,33.8,66.2,-10.2,3.1,16.7,51.7
99,A025343,2012JJ00,-0.8,54.1,45.9,-10.0,-2.6,1.2,7.9
100,A025343,2013JJ00,0.1,49.6,50.4,-9.5,-1.8,2.0,9.0
101,A025343,2014JJ00,2.8,36.0,64.0,-6.5,0.9,4.9,12.6
102,A025343,2015JJ00,2.5,37.4,62.6,-7.0,0.5,4.6,12.8
103,A025343,2016JJ00,5.0,28.9,71.1,-4.3,2.8,7.3,15.7
104,A025343,2017JJ00,1.6,40.1,59.9,-6.8,0.0,3.8,12.7
105,A025343,2018JJ00,1.9,39.9,60.1,-6.6,0.0,4.2,13.1
106,A025343,2019JJ00,2.5,36.1,63.9,-6.2,0.7,4.8,13.4
